Key,English
npcRaiderJayneClub,Jayne (Friendly Raider)
npcRaiderBettyClub,Betty (Friendly Raider)
npcRaiderGinaClub,Gina (Friendly Raider)
npcRaiderHedyClub,Hedy (Friendly Raider)
npcRaiderGypsyClub,Gypsy (Friendly Raider)
npcRaiderJayneKnife,Jayne (Friendly Raider)
npcRaiderBettyKnife,Betty (Friendly Raider)
npcRaiderGinaKnife,Gina (Friendly Raider)
npcRaiderHedyKnife,Hedy (Friendly Raider)
npcRaiderGypsyKnife,Gypsy (Friendly Raider)
npcRaiderGypsyBat,Gypsy (Friendly Raider)
npcRaiderJayneBat,Jayne (Friendly Raider)
npcRaiderBettyBat,Betty (Friendly Raider)
npcRaiderHedyBat,Hedy (Friendly Raider)
npcRaiderGinaBat,Gina (Friendly Raider)
npcRaiderHedyAxe,Hedy (Friendly Raider)
npcRaiderBettyAxe,Betty (Friendly Raider)
npcRaiderJayneAxe,Jayne (Friendly Raider)
npcRaiderGypsyAxe,Gypsy (Friendly Raider)
npcRaiderGinaAxe,Gina (Friendly Raider)
npcRaiderJayneSMG,Jayne (Friendly Raider)
npcRaiderBettySMG,Betty (Friendly Raider)
npcRaiderHedySMG,Hedy (Friendly Raider)
npcRaiderGinaSMG,Gina (Friendly Raider)
npcRaiderGypsySMG,Gypsy (Friendly Raider)
npcRaiderGinaDPistol,Gina (Friendly Raider)
npcRaiderJayneDPistol,Jayne (Friendly Raider)
npcRaiderHedyDPistol,Hedy (Friendly Raider)
npcRaiderBettyDPistol,Betty (Friendly Raider)
npcRaiderGypsyDPistol,Gypsy (Friendly Raider)
npcRaiderGinaTRifle,Gina (Friendly Raider)
npcRaiderJayneTRifle,Jayne (Friendly Raider)
npcRaiderHedyTRifle,Hedy (Friendly Raider)
npcRaiderBettyTRifle,Betty (Friendly Raider)
npcRaiderGypsyTRifle,Gypsy (Friendly Raider)
npcRaiderGinaMachete,Gina (Friendly Raider)
npcRaiderBettyMachete,Betty (Friendly Raider)
npcRaiderJayneMachete,Jayne (Friendly Raider)
npcRaiderHedyMachete,Hedy (Friendly Raider)
npcRaiderGypsyMachete,Gypsy (Friendly Raider)
